table,field
Currency,Code
Currency,Currency Factor
Currency,Description
Currency,EMU Currency
Currency,Last Date Adjusted
Currency,Last Date Modified
Currency,Last Modified Date Time
Currency,SystemCreatedAt
Currency,SystemModifiedAt
Currency Exchange Rate,Adjustment Exch. Rate Amount
Currency Exchange Rate,Currency Code
Currency Exchange Rate,Exchange Rate Amount
Currency Exchange Rate,Fix Exchange Rate Amount
Currency Exchange Rate,Relational Adjmt Exch Rate Amt
Currency Exchange Rate,Relational Currency Code
Currency Exchange Rate,Relational Exch. Rate Amount
Currency Exchange Rate,Starting Date
Currency Exchange Rate,SystemCreatedAt
Currency Exchange Rate,SystemModifiedAt
Cust. Ledger Entry,Applies-to Doc. No.
Cust. Ledger Entry,Applies-to Doc. Type
Cust. Ledger Entry,Applies-to Ext. Doc. No.
Cust. Ledger Entry,Applies-to ID
Cust. Ledger Entry,Applying Entry
Cust. Ledger Entry,Closed at Date
Cust. Ledger Entry,Closed by Amount
Cust. Ledger Entry,Closed by Amount (LCY)
Cust. Ledger Entry,Closed by Currency Amount
Cust. Ledger Entry,Closed by Currency Code
Cust. Ledger Entry,Closed by Entry No.
Cust. Ledger Entry,Currency Code
Cust. Ledger Entry,Customer Name
Cust. Ledger Entry,Customer No.
Cust. Ledger Entry,Customer Posting Group
Cust. Ledger Entry,Description
Cust. Ledger Entry,Dimension Set ID
Cust. Ledger Entry,Document Date
Cust. Ledger Entry,Document No.
Cust. Ledger Entry,Document Type
Cust. Ledger Entry,Due Date
Cust. Ledger Entry,Entry No.
Cust. Ledger Entry,External Document No.
Cust. Ledger Entry,Global Dimension 1 Code
Cust. Ledger Entry,Global Dimension 2 Code
Cust. Ledger Entry,Inv. Discount (LCY)
Cust. Ledger Entry,Open
Cust. Ledger Entry,Payment Method Code
Cust. Ledger Entry,Payment Reference
Cust. Ledger Entry,Pmt. Disc. Given (LCY)
Cust. Ledger Entry,Pmt. Disc. Tolerance Date
Cust. Ledger Entry,Pmt. Discount Date
Cust. Ledger Entry,Pmt. Tolerance (LCY)
Cust. Ledger Entry,Positive
Cust. Ledger Entry,Posting Date
Cust. Ledger Entry,Profit (LCY)
Cust. Ledger Entry,Promised Pay Date
Cust. Ledger Entry,Reason Code
Cust. Ledger Entry,Reversed
Cust. Ledger Entry,Reversed by Entry No.
Cust. Ledger Entry,Reversed Entry No.
Cust. Ledger Entry,Sales (LCY)
Cust. Ledger Entry,Salesperson Code
Cust. Ledger Entry,Sell-to Customer No.
Cust. Ledger Entry,Source Code
Cust. Ledger Entry,SystemCreatedAt
Cust. Ledger Entry,SystemModifiedAt
Cust. Ledger Entry,Transaction No.
Cust. Ledger Entry,User ID
Cust. Ledger Entry,Your Reference
Customer,Address
Customer,Address 2
Customer,Bill-to Customer No.
Customer,Blocked
Customer,City
Customer,Contact
Customer,Country/Region Code
Customer,County
Customer,Credit Limit (LCY)
Customer,Currency Code
Customer,Customer Disc. Group
Customer,Customer Posting Group
Customer,Customer Price Group
Customer,E-Mail
Customer,Fax No.
Customer,Gen. Bus. Posting Group
Customer,Global Dimension 1 Code
Customer,Global Dimension 2 Code
Customer,Invoice Disc. Code
Customer,Language Code
Customer,Last Date Modified
Customer,Last Modified Date Time
Customer,Last Statement No.
Customer,Location Code
Customer,Mobile Phone No.
Customer,Name
Customer,Name 2
Customer,No.
Customer,Our Account No.
Customer,Partner Type
Customer,Payment Method Code
Customer,Payment Terms Code
Customer,Phone No.
Customer,Place of Export
Customer,Post Code
Customer,Primary Contact No.
Customer,Priority
Customer,Responsibility Center
Customer,Salesperson Code
Customer,Service Zone Code
Customer,Shipment Method Code
Customer,Shipping Agent Code
Customer,Shipping Agent Service Code
Customer,Ship-to Code
Customer,State Inscription
Customer,Statistics Group
Customer,SystemCreatedAt
Customer,SystemModifiedAt
Customer,SystemID
Customer,Tax Area Code
Customer,Tax Exemption No.
Customer,Tax Identification Type
Customer,Tax Liable
Customer,Territory Code
Customer,VAT Bus. Posting Group
Detailed Cust. Ledg. Entry,Amount
Detailed Cust. Ledg. Entry,Amount (LCY)
Detailed Cust. Ledg. Entry,Application No.
Detailed Cust. Ledg. Entry,Applied Cust. Ledger Entry No.
Detailed Cust. Ledg. Entry,Credit Amount
Detailed Cust. Ledg. Entry,Credit Amount (LCY)
Detailed Cust. Ledg. Entry,Currency Code
Detailed Cust. Ledg. Entry,Cust. Ledger Entry No.
Detailed Cust. Ledg. Entry,Customer No.
Detailed Cust. Ledg. Entry,Debit Amount
Detailed Cust. Ledg. Entry,Debit Amount (LCY)
Detailed Cust. Ledg. Entry,Document No.
Detailed Cust. Ledg. Entry,Document Type
Detailed Cust. Ledg. Entry,Entry No.
Detailed Cust. Ledg. Entry,Entry Type
Detailed Cust. Ledg. Entry,Exch. Rate Adjmt. Reg. No.
Detailed Cust. Ledg. Entry,Gen. Bus. Posting Group
Detailed Cust. Ledg. Entry,Gen. Prod. Posting Group
Detailed Cust. Ledg. Entry,Initial Document Type
Detailed Cust. Ledg. Entry,Initial Entry Due Date
Detailed Cust. Ledg. Entry,Initial Entry Global Dim. 1
Detailed Cust. Ledg. Entry,Initial Entry Global Dim. 2
Detailed Cust. Ledg. Entry,Journal Batch Name
Detailed Cust. Ledg. Entry,Ledger Entry Amount
Detailed Cust. Ledg. Entry,Max. Payment Tolerance
Detailed Cust. Ledg. Entry,Posting Date
Detailed Cust. Ledg. Entry,Posting Group
Detailed Cust. Ledg. Entry,Reason Code
Detailed Cust. Ledg. Entry,Remaining Pmt. Disc. Possible
Detailed Cust. Ledg. Entry,Source Code
Detailed Cust. Ledg. Entry,SystemCreatedAt
Detailed Cust. Ledg. Entry,SystemModifiedAt
Detailed Cust. Ledg. Entry,Tax Jurisdiction Code
Detailed Cust. Ledg. Entry,Transaction No.
Detailed Cust. Ledg. Entry,Unapplied
Detailed Cust. Ledg. Entry,Unapplied by Entry No.
Detailed Cust. Ledg. Entry,Use Tax
Detailed Cust. Ledg. Entry,User ID
Detailed Cust. Ledg. Entry,VAT Bus. Posting Group
Detailed Cust. Ledg. Entry,VAT Prod. Posting Group
Detailed Vendor Ledg. Entry,Amount
Detailed Vendor Ledg. Entry,Amount (LCY)
Detailed Vendor Ledg. Entry,Application No.
Detailed Vendor Ledg. Entry,Applied Vend. Ledger Entry No.
Detailed Vendor Ledg. Entry,Credit Amount
Detailed Vendor Ledg. Entry,Credit Amount (LCY)
Detailed Vendor Ledg. Entry,Currency Code
Detailed Vendor Ledg. Entry,Debit Amount
Detailed Vendor Ledg. Entry,Debit Amount (LCY)
Detailed Vendor Ledg. Entry,Document No.
Detailed Vendor Ledg. Entry,Document Type
Detailed Vendor Ledg. Entry,Entry No.
Detailed Vendor Ledg. Entry,Entry Type
Detailed Vendor Ledg. Entry,Exch. Rate Adjmt. Reg. No.
Detailed Vendor Ledg. Entry,Gen. Bus. Posting Group
Detailed Vendor Ledg. Entry,Gen. Prod. Posting Group
Detailed Vendor Ledg. Entry,Initial Document Type
Detailed Vendor Ledg. Entry,Initial Entry Due Date
Detailed Vendor Ledg. Entry,Initial Entry Global Dim. 1
Detailed Vendor Ledg. Entry,Initial Entry Global Dim. 2
Detailed Vendor Ledg. Entry,Journal Batch Name
Detailed Vendor Ledg. Entry,Ledger Entry Amount
Detailed Vendor Ledg. Entry,Max. Payment Tolerance
Detailed Vendor Ledg. Entry,Posting Date
Detailed Vendor Ledg. Entry,Posting Group
Detailed Vendor Ledg. Entry,Reason Code
Detailed Vendor Ledg. Entry,Remaining Pmt. Disc. Possible
Detailed Vendor Ledg. Entry,Source Code
Detailed Vendor Ledg. Entry,SystemCreatedAt
Detailed Vendor Ledg. Entry,SystemModifiedAt
Detailed Vendor Ledg. Entry,Tax Jurisdiction Code
Detailed Vendor Ledg. Entry,Transaction No.
Detailed Vendor Ledg. Entry,Unapplied
Detailed Vendor Ledg. Entry,Unapplied by Entry No.
Detailed Vendor Ledg. Entry,Use Tax
Detailed Vendor Ledg. Entry,User ID
Detailed Vendor Ledg. Entry,VAT Bus. Posting Group
Detailed Vendor Ledg. Entry,VAT Prod. Posting Group
Detailed Vendor Ledg. Entry,Vendor Ledger Entry No.
Detailed Vendor Ledg. Entry,Vendor No.
Dimension,Blocked
Dimension,Code
Dimension,Code Caption
Dimension,Consolidation Code
Dimension,Description
Dimension,Filter Caption
Dimension,Last Modified Date Time
Dimension,Map-to IC Dimension Code
Dimension,Name
Dimension,SystemCreatedAt
Dimension,SystemModifiedAt
Dimension Value,Blocked
Dimension Value,Code
Dimension Value,Consolidation Code
Dimension Value,Dimension Code
Dimension Value,Dimension Value ID
Dimension Value,Dimension Value Type
Dimension Value,Global Dimension No.
Dimension Value,Indentation
Dimension Value,Last Modified Date Time
Dimension Value,Map-to IC Dimension Code
Dimension Value,Map-to IC Dimension Value Code
Dimension Value,Name
Dimension Value,SystemCreatedAt
Dimension Value,SystemModifiedAt
Dimension Value,Totaling
Dimension Set Entry,Dimension Code
Dimension Set Entry,Dimension Name
Dimension Set Entry,Dimension Set ID
Dimension Set Entry,Dimension Value Code
Dimension Set Entry,Dimension Value ID
Dimension Set Entry,Dimension Value Name
Dimension Set Entry,Global Dimension No.
Dimension Set Entry,SystemCreatedAt
Dimension Set Entry,SystemModifiedAt
G/L Account,Account Category
G/L Account,Account Subcategory Entry No.
G/L Account,Account Type
G/L Account,Blocked
G/L Account,Debit/Credit
G/L Account,Income/Balance
G/L Account,Indentation
G/L Account,Name
G/L Account,No.
G/L Account,No. 2
G/L Account,SystemCreatedAt
G/L Account,SystemModifiedAt
G/L Account Category,Account Category
G/L Account Category,Description
G/L Account Category,Entry No.
G/L Account Category,Income/Balance
G/L Account Category,Indentation
G/L Account Category,Parent Entry No.
G/L Account Category,Presentation Order
G/L Account Category,Sibling Sequence No.
G/L Account Category,SystemCreatedAt
G/L Account Category,SystemModifiedAt
G/L Budget Entry,Amount
G/L Budget Entry,Budget Dimension 1 Code
G/L Budget Entry,Budget Dimension 2 Code
G/L Budget Entry,Budget Dimension 3 Code
G/L Budget Entry,Budget Dimension 4 Code
G/L Budget Entry,Budget Name
G/L Budget Entry,Business Unit Code
G/L Budget Entry,Date
G/L Budget Entry,Description
G/L Budget Entry,Dimension Set ID
G/L Budget Entry,Entry No.
G/L Budget Entry,G/L Account No.
G/L Budget Entry,Global Dimension 1 Code
G/L Budget Entry,Global Dimension 2 Code
G/L Budget Entry,Last Date Modified
G/L Budget Entry,SystemCreatedAt
G/L Budget Entry,SystemModifiedAt
G/L Budget Entry,User ID
G/L Budget Name,Blocked
G/L Budget Name,Budget Dimension 1 Code
G/L Budget Name,Budget Dimension 2 Code
G/L Budget Name,Budget Dimension 3 Code
G/L Budget Name,Budget Dimension 4 Code
G/L Budget Name,Description
G/L Budget Name,Name
G/L Budget Name,SystemCreatedAt
G/L Budget Name,SystemModifiedAt
G/L Entry,Add.-Currency Credit Amount
G/L Entry,Add.-Currency Debit Amount
G/L Entry,Additional-Currency Amount
G/L Entry,Amount
G/L Entry,Business Unit Code
G/L Entry,Credit Amount
G/L Entry,Debit Amount
G/L Entry,Description
G/L Entry,Dimension Set ID
G/L Entry,Document Date
G/L Entry,Document No.
G/L Entry,Document Type
G/L Entry,Entry No.
G/L Entry,External Document No.
G/L Entry,FA Entry No.
G/L Entry,FA Entry Type
G/L Entry,G/L Account No.
G/L Entry,Gen. Bus. Posting Group
G/L Entry,Gen. Posting Type
G/L Entry,Gen. Prod. Posting Group
G/L Entry,Global Dimension 1 Code
G/L Entry,Global Dimension 2 Code
G/L Entry,GST/HST
G/L Entry,IC Partner Code
G/L Entry,Job No.
G/L Entry,Journal Batch Name
G/L Entry,Journal Templ. Name
G/L Entry,Posting Date
G/L Entry,Prior-Year Entry
G/L Entry,Prod. Order No.
G/L Entry,Quantity
G/L Entry,Reason Code
G/L Entry,Reversed
G/L Entry,Reversed by Entry No.
G/L Entry,Reversed Entry No.
G/L Entry,Source Code
G/L Entry,Source Currency Amount
G/L Entry,Source Currency Code
G/L Entry,Source Currency VAT Amount
G/L Entry,Source No.
G/L Entry,Source Type
G/L Entry,System-Created Entry
G/L Entry,SystemCreatedAt
G/L Entry,SystemModifiedAt
G/L Entry,Tax Area Code
G/L Entry,Tax Group Code
G/L Entry,Tax Liable
G/L Entry,Transaction No.
G/L Entry,User ID
G/L Entry,VAT Amount
G/L Entry,VAT Bus. Posting Group
G/L Entry,VAT Prod. Posting Group
G/L Entry,VAT Reporting Date
G/L Register,Creation Date
G/L Register,Creation Time
G/L Register,From Entry No.
G/L Register,From VAT Entry No.
G/L Register,Journal Batch Name
G/L Register,Journal Templ. Name
G/L Register,No.
G/L Register,Reversed
G/L Register,Source Code
G/L Register,SystemCreatedAt
G/L Register,SystemModifiedAt
G/L Register,To Entry No.
G/L Register,To VAT Entry No.
G/L Register,User ID
Item,Base Unit of Measure
Item,Block Reason
Item,Blocked
Item,Costing Method
Item,Country/Region of Origin Code
Item,Country/Region Purchased Code
Item,Critical
Item,Description
Item,Description 2
Item,Discrete Order Quantity
Item,Gen. Prod. Posting Group
Item,Global Dimension 1 Code
Item,Global Dimension 2 Code
Item,Gross Weight
Item,Inventory Posting Group
Item,Item Category Code
Item,Item Disc. Group
Item,Item Tracking Code
Item,Last Counting Period Update
Item,Last Date Modified
Item,Last DateTime Modified
Item,Last Direct Cost
Item,Last Time Modified
Item,Last Unit Cost Calc. Date
Item,Lot Size
Item,Manufacturer Code
Item,Manufacturing Policy
Item,Maximum Inventory
Item,Maximum Order Quantity
Item,Minimum Order Quantity
Item,Net Weight
Item,Next Counting End Date
Item,Next Counting Start Date
Item,No.
Item,No. 2
Item,Order Multiple
Item,Order Tracking Policy
Item,Phys Invt Counting Period Code
Item,Prevent Negative Inventory
Item,Price Includes VAT
Item,Price Unit Conversion
Item,Price/Profit Calculation
Item,Production BOM No.
Item,Profit %
Item,Purch. Unit of Measure
